dataset_index,source_row,canonical_smiles,drug_id,cell_id,ln_ic50
16823,92762,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,CUDC-101,KNS-81-FD,-0.331932
32506,348783,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,Erlotinib,D-542MG,3.844298
34542,45979,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,Bexarotene,EVSA-T,4.307732
28920,156777,C=C1C(=O)OC(CCCCCCCC)C1C(=O)O,C-75,MHH-NB-11,2.552279
16452,437324,C=C1C(=O)OC2C1C(OC(=O)C=C(C)C)CC1=CC(CC3(C)OC23)OC1=O,Elephantin,BALL-1,1.521385
13161,438491,C=C1C(=O)OC2CC1CCC1(C)OC1CCC(C)=CCCC2(C)O,Sinularin,BHT-101,3.922183
3592,12609,C=C1C(=O)O[C@@H]2C3O[C@@]3(C)CCC=C(C)CC[C@@H]12,Parthenolide,NCI-H1694,3.206937
12592,416415,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,Ibrutinib,NAMALWA,1.941227
6688,72062,C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnn(C)c6)cc5c43)cc21,QL-XII-47,NCI-H3122,1.173796
21363,128195,C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cn[nH]c5)cc4c32)ccc1C,QL-X-138,NCI-H1869,2.1347
9616,125971,C=CC(=O)Nc1cc(NC(=O)c2ccc(C)c(NC(=O)c3ccno3)c2)cc(C(F)(F)F)c1,QL-XI-92,HT-3,3.977955
40782,460220,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,Osimertinib,HCC1419,-0.103191
26984,136277,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CI-1033,LAN-6,2.553123
1444,128464,C=CC(=O)Nc1ccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc2N)cc1,XMD15-27,NCI-H2087,4.478862
29574,143909,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,AST-1306,LXF-289,2.156798
19178,76788,C=CC(=O)Nc1cccc(Nc2nc(N[C@H]3CC[C@H](N(C)C)CC3)nc3c2ncn3C(C)C)c1,WZ3105,SNU-1040,-1.821324
21783,196710,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)C=C(C)[C@H](OC(N)=O)[C@@H](OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,Tanespimycin,EKVX,0.480761
9476,38111,C=CCc1cccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,PAC-1,SK-MEL-28,1.577762
21404,351404,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,MK-1775,KON,-0.375643
11566,485083,CC(=CC(=O)Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,BIBR-1532,OCI-LY-19,3.998611
41114,54222,CC(=Cc1csc(C)n1)[C@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@H](O)CC(=O)O1,Epothilone B,HCC-15,-6.427457
4314,165244,CC(=NNC(=S)N1CCC1)c1ccccn1,NSC319726,SUIT-2,-5.281224
36158,48053,CC(=O)C(C#N)C(=O)Nc1cc(Br)ccc1Br,LFM-A13,CAMA-1,5.420863
29512,285834,CC(=O)N1CCN(CCOc2ccc(C3CCN(C4=Nn5c(nnc5C(F)(F)F)CC4)CC3)cc2)CC1,AZD3514,UWB1.289,4.100665
23234,514623,CC(=O)NC(CS)C(=O)O,N-acetyl cysteine,CML-T1,7.593997
9770,358593,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,Trametinib,NCI-H1963,1.759634
2028,115905,CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,PIK-93,HOP-92,5.038164
31948,206389,CC(=O)OC1C(C)OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C1OC(C)=O,SL0101,TE-9,3.877883
24469,427187,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,Docetaxel,G-401,-4.956433
31242,340473,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@@H]3OC[C@@]3(OC(C)=O)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,Paclitaxel,HCC-827,-0.622188
30552,418243,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,Acetalax,NCI-H2722,6.507872
29014,215341,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,Palbociclib,ST486,1.726612
39880,469918,CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(F)cc2F)s1,P22077,SK-MEL-3,4.584472
4602,498540,CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C1CCCN(O)C1=O,POMHEX,HSC-2,0.165969
38741,383523,CC(C)(C)NS(=O)(=O)c1cncc(-c2cc(F)c3nc(N)nn3c2)c1,CZC24832,MFM-223,7.338049
34550,95429,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,CAY10603,MFM-223,0.889526
1035,78119,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,Quizartinib,NCI-H28,3.062105
38166,281236,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,Dabrafenib,HCC1500,4.789056
6960,34781,CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,Shikonin,KE-37,-0.816559
7392,442000,CC(C)=CCCC(C)=CCc1c(O)cc(C=Cc2cc(O)c3c(c2)CC2C(C)(CC(O)C(O)C2(C)C)O3)cc1O,Schweinfurthin A,LU-165,4.454127
34164,92021,CC(C)C(C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,AR-42,CHSA0011,1.982965
18811,113995,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,PHA-793887,HCC1937,2.19553
23441,1572,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,MG-132,SK-N-DZ,1.903609
23051,14017,CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O,Bortezomib,SKM-1,-2.918046
37165,268348,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O,SGC0946,SK-PN-DW,1.758283
28533,355539,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,EPZ004777,CP50-MEL-B,3.664532
15956,369844,CC(C)N(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@H]1C[C@@H](CCc2nc3cc(C(C)(C)C)ccc3[nH]2)C1,EPZ5676,SBC-3,5.6479
26559,462732,CC(C)NCC(C(=O)N1CCN(c2ncnc3c2C(C)CC3O)CC1)c1ccc(Cl)cc1,Ipatasertib,SU-DHL-5,-0.889318
6041,450454,CC(C)Nc1cc(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)c(Cl)cn1,Ulixertinib,NCI-H2085,4.917578
21040,319748,CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)[nH]n1,AZD1332,LB373-MEL-D,2.618099
12987,446861,CC(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,MN-64,RCC-JW,5.921723
3491,234983,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,TW 37,NCC010,-1.960945
30643,158695,CC(C=CC(=O)NO)=CC(C)C(=O)c1ccc(N(C)C)cc1,Trichostatin A,SW948,-0.410464
37245,181584,CC(C=CC=C(C)/C=C/C1=C(C)CCCC1(C)C)=CC(=O)O,Tretinoin,JHH-6,3.352457
19975,459875,CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,AZD8186,SU-DHL-16,0.561718
32142,486154,CC(Nc1ncnc2nc[nH]c12)c1cc2ccc(F)cc2nc1-c1ccccn1,AMG-319,SBC-5,4.604316
11281,327100,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,Bicalutamide,DB,3.058472
4628,291856,CC(c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,AZD6094,WSU-NHL,2.730014
