canonical_smiles,n_genes,ig_spearman_vs_cond_attn,ig_spearman_vs_pool_alpha,ig_cond_top20_overlap_n,ig_cond_top20_overlap_fraction,ig_cond_top20_jaccard,ig_pool_top20_overlap_n,ig_pool_top20_overlap_fraction,ig_pool_top20_jaccard
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,268,0.21298066702534274,-0.09561128819791438,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,268,-0.11921720498214824,-0.01551700168386587,4,0.2,0.1111111111111111,3,0.15,0.08108108108108109
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,268,0.026865796326416863,-0.05083579221805844,0,0.0,0.0,0,0.0,0.0
C=C1C(=O)OC(CCCCCCCC)C1C(=O)O,268,0.16590910366092762,0.11016946510918943,4,0.2,0.1111111111111111,2,0.1,0.05263157894736842
C=C1C(=O)OC2C1C(OC(=O)C=C(C)C)CC1=CC(CC3(C)OC23)OC1=O,268,0.24069743592301218,0.23280178199267226,4,0.2,0.1111111111111111,8,0.4,0.25
C=C1C(=O)OC2CC1CCC1(C)OC1CCC(C)=CCCC2(C)O,268,0.22270295072401244,0.08030749722420852,5,0.25,0.14285714285714285,2,0.1,0.05263157894736842
C=C1C(=O)O[C@@H]2C3O[C@@]3(C)CCC=C(C)CC[C@@H]12,268,0.25555921989817,0.11807072984769149,4,0.2,0.1111111111111111,3,0.15,0.08108108108108109
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,268,0.026206838078934095,0.1092455520318295,1,0.05,0.02564102564102564,1,0.05,0.02564102564102564
C=CC(=O)N1CCc2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnn(C)c6)cc5c43)cc21,268,-0.03216863346273519,-0.09293493270459031,2,0.1,0.05263157894736842,1,0.05,0.02564102564102564
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cn[nH]c5)cc4c32)ccc1C,268,0.17396310706606477,-0.27114791524188503,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
C=CC(=O)Nc1cc(NC(=O)c2ccc(C)c(NC(=O)c3ccno3)c2)cc(C(F)(F)F)c1,268,0.16756678576126507,-0.004246134932455221,4,0.2,0.1111111111111111,1,0.05,0.02564102564102564
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,268,0.2282345841487188,-0.18389922489802354,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,268,0.22027035367417536,0.02618751196193129,5,0.25,0.14285714285714285,3,0.15,0.08108108108108109
C=CC(=O)Nc1ccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc2N)cc1,268,0.22225346264791487,-0.08860089511092878,2,0.1,0.05263157894736842,2,0.1,0.05263157894736842
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,268,0.1095254690168056,0.002321627732853214,5,0.25,0.14285714285714285,2,0.1,0.05263157894736842
C=CC(=O)Nc1cccc(Nc2nc(N[C@H]3CC[C@H](N(C)C)CC3)nc3c2ncn3C(C)C)c1,268,0.1493042286167425,-0.15205913542433605,1,0.05,0.02564102564102564,2,0.1,0.05263157894736842
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)C=C(C)[C@H](OC(N)=O)[C@@H](OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,268,-0.019206419762014454,-0.014604310222830126,3,0.15,0.08108108108108109,3,0.15,0.08108108108108109
C=CCc1cccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,268,0.18152398277606577,-0.01165489539895028,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,268,0.17917804154117678,-0.2470950040740701,4,0.2,0.1111111111111111,1,0.05,0.02564102564102564
CC(=CC(=O)Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,268,0.06409226163572512,-0.01117423616639662,2,0.1,0.05263157894736842,2,0.1,0.05263157894736842
CC(=Cc1csc(C)n1)[C@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@H](O)CC(=O)O1,268,-0.0909063138424248,-0.09483512640215654,3,0.15,0.08108108108108109,2,0.1,0.05263157894736842
CC(=NNC(=S)N1CCC1)c1ccccn1,268,0.12433488544911714,0.11603650017736387,4,0.2,0.1111111111111111,0,0.0,0.0
CC(=O)C(C#N)C(=O)Nc1cc(Br)ccc1Br,268,0.022395229067477446,0.05371725392086391,0,0.0,0.0,1,0.05,0.02564102564102564
CC(=O)N1CCN(CCOc2ccc(C3CCN(C4=Nn5c(nnc5C(F)(F)F)CC4)CC3)cc2)CC1,268,0.19922795279689431,0.13338262532207595,1,0.05,0.02564102564102564,0,0.0,0.0
CC(=O)NC(CS)C(=O)O,268,0.13088581568993923,0.101535054770839,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,268,0.1988688610745196,-0.09401781867987657,5,0.25,0.14285714285714285,1,0.05,0.02564102564102564
CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,268,-0.0510234425799244,-0.014472767942585223,3,0.15,0.08108108108108109,0,0.0,0.0
CC(=O)OC1C(C)OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C1OC(C)=O,268,0.0327054007769099,0.09784064930765742,4,0.2,0.1111111111111111,3,0.15,0.08108108108108109
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,268,0.03797706675677208,-0.17597801061938959,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@@H]3OC[C@@]3(OC(C)=O)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,268,-0.1336962071560247,-0.2081665936222567,1,0.05,0.02564102564102564,0,0.0,0.0
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,268,0.23765014366786005,0.04482661667644401,2,0.1,0.05263157894736842,3,0.15,0.08108108108108109
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,268,0.2864859944876927,0.0010772751671241552,8,0.4,0.25,1,0.05,0.02564102564102564
CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(F)cc2F)s1,268,0.06177312759538841,-0.003294167814284743,4,0.2,0.1111111111111111,2,0.1,0.05263157894736842
CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C1CCCN(O)C1=O,268,0.19927159241593292,0.0799870577358394,3,0.15,0.08108108108108109,3,0.15,0.08108108108108109
CC(C)(C)NS(=O)(=O)c1cncc(-c2cc(F)c3nc(N)nn3c2)c1,268,-0.0959784844209677,0.052106951978339776,1,0.05,0.02564102564102564,2,0.1,0.05263157894736842
CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,268,0.10311854951881083,-0.06906593135986662,4,0.2,0.1111111111111111,1,0.05,0.02564102564102564
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,268,0.06494198736071947,0.05885301365857733,3,0.15,0.08108108108108109,2,0.1,0.05263157894736842
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,268,-0.05040874737460934,-0.03813292253905278,2,0.1,0.05263157894736842,0,0.0,0.0
CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,268,0.13855017963937463,-0.23772557786648396,3,0.15,0.08108108108108109,0,0.0,0.0
CC(C)=CCCC(C)=CCc1c(O)cc(C=Cc2cc(O)c3c(c2)CC2C(C)(CC(O)C(O)C2(C)C)O3)cc1O,268,-0.0013347489194518614,-0.1036808771812796,3,0.15,0.08108108108108109,3,0.15,0.08108108108108109
CC(C)C(C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,268,0.135078959656419,-0.11098926652398587,4,0.2,0.1111111111111111,3,0.15,0.08108108108108109
CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,268,0.3459275195801619,-0.22816476075825706,3,0.15,0.08108108108108109,0,0.0,0.0
CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,268,0.09998709514122714,-0.32515381407153277,4,0.2,0.1111111111111111,1,0.05,0.02564102564102564
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O,268,-0.01774823306299628,-0.17063714467219476,5,0.25,0.14285714285714285,2,0.1,0.05263157894736842
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O,268,0.19565012745885874,0.010191097891770003,0,0.0,0.0,0,0.0,0.0
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,268,0.10760470235597833,0.054320727509854755,1,0.05,0.02564102564102564,1,0.05,0.02564102564102564
CC(C)N(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@H]1C[C@@H](CCc2nc3cc(C(C)(C)C)ccc3[nH]2)C1,268,0.1019708275380958,0.16060813679399666,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CC(C)NCC(C(=O)N1CCN(c2ncnc3c2C(C)CC3O)CC1)c1ccc(Cl)cc1,268,0.0054393668015962114,0.06687148194535446,3,0.15,0.08108108108108109,2,0.1,0.05263157894736842
CC(C)Nc1cc(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)c(Cl)cn1,268,-0.1927200387519817,-0.03386496779707826,0,0.0,0.0,2,0.1,0.05263157894736842
CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)[nH]n1,268,0.06448190109142686,-0.14177016010129379,3,0.15,0.08108108108108109,0,0.0,0.0
CC(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,268,0.08644260423790574,0.17168262525973366,2,0.1,0.05263157894736842,7,0.35,0.21212121212121213
CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,268,0.0675185951533839,-0.06173634563077016,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CC(C=CC(=O)NO)=CC(C)C(=O)c1ccc(N(C)C)cc1,268,0.04165214610295084,-0.1122248911659072,5,0.25,0.14285714285714285,0,0.0,0.0
CC(C=CC=C(C)/C=C/C1=C(C)CCCC1(C)C)=CC(=O)O,268,0.19353859332051987,0.06506978910218965,4,0.2,0.1111111111111111,0,0.0,0.0
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,268,0.15164455904346938,0.0696893544889894,3,0.15,0.08108108108108109,0,0.0,0.0
CC(Nc1ncnc2nc[nH]c12)c1cc2ccc(F)cc2nc1-c1ccccn1,268,-0.06635092363253695,0.0290209700837943,1,0.05,0.02564102564102564,2,0.1,0.05263157894736842
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,268,0.12302257976231369,0.008062107905815727,4,0.2,0.1111111111111111,4,0.2,0.1111111111111111
CC(c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,268,0.006268519563329502,-0.11103415298928272,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,268,0.24073359446450135,0.0573306143772595,3,0.15,0.08108108108108109,0,0.0,0.0
CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,268,0.10801179765929551,-0.34812134557154495,6,0.3,0.17647058823529413,0,0.0,0.0
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,268,0.1492705637677699,-0.09039323660715676,1,0.05,0.02564102564102564,2,0.1,0.05263157894736842
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,268,0.028201792092126973,-0.1605981620239307,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,268,0.09280650753999102,-0.052868775042127815,4,0.2,0.1111111111111111,2,0.1,0.05263157894736842
CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,268,-0.1907550090489867,0.039576147082972,0,0.0,0.0,0,0.0,0.0
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,268,0.24538869496966106,0.2751646304628231,3,0.15,0.08108108108108109,5,0.25,0.14285714285714285
CC1CC(=O)Nc2cccc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2N1,268,0.16724509942663773,0.048401324898834,3,0.15,0.08108108108108109,4,0.2,0.1111111111111111
CC1CN(CC(=O)Nc2ccc3c(c2)Cc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)CC(C)O1,268,0.14811536070950537,0.04905965972318766,2,0.1,0.05263157894736842,1,0.05,0.02564102564102564
CC1COCCN1c1cc(C2(S(C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1,268,0.2096428595920194,-0.09500594433953617,2,0.1,0.05263157894736842,0,0.0,0.0
CC=C(C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,268,-0.025582791526682195,-0.08290031401823013,4,0.2,0.1111111111111111,2,0.1,0.05263157894736842
CC=C1NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,268,0.031164922224847527,-0.23674742697689027,5,0.25,0.14285714285714285,1,0.05,0.02564102564102564
CCC(=C(c1ccc(C=CC(=O)O)cc1)c1ccc2[nH]ncc2c1)c1ccc(F)cc1Cl,268,0.07662743049299676,-0.10676744509356645,4,0.2,0.1111111111111111,1,0.05,0.02564102564102564
CCC(=O)N1CCOc2c(cc(-c3ccc(OC)c(OC)c3)cc2OC[C@H]2CCCN(C)C2)C1,268,0.05961670699175272,0.08526184083134719,1,0.05,0.02564102564102564,2,0.1,0.05263157894736842
CCC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,268,0.19521871865350576,-0.09064135901254762,4,0.2,0.1111111111111111,2,0.1,0.05263157894736842
CCC(=O)OCN1C(=O)C=CC1=O,268,0.12824437189184604,0.2878338352928561,4,0.2,0.1111111111111111,4,0.2,0.1111111111111111
CCC(C)CNCC(=O)N1CCc2sccc2C1COc1cccc(C)c1,268,0.07633566846856732,0.23888078092474846,4,0.2,0.1111111111111111,4,0.2,0.1111111111111111
CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,268,0.12550505066248058,0.07470915752468599,1,0.05,0.02564102564102564,1,0.05,0.02564102564102564
CCC1=C[C@@H]2C[N@](C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,268,0.08942194337198348,-0.08370640012418587,2,0.1,0.05263157894736842,1,0.05,0.02564102564102564
CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3,268,0.04842688524712804,-0.08526620479325106,1,0.05,0.02564102564102564,1,0.05,0.02564102564102564
CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,268,-0.053926100669120035,-0.17406971242114472,1,0.05,0.02564102564102564,1,0.05,0.02564102564102564
CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O,268,0.2500157414340103,0.10341841604391891,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
