mode,metric,mean,sample_sd
scratch,cell_mean_alignment_pcc,0.8908718894149414,0.01998863157681703
scratch,drug_mean_alignment_pcc,0.30996424114225585,0.2000498017708137
scratch,two_way_residual_interaction_pcc,0.05448254814867266,0.03186333510463108
scratch,prediction_cell_only_r2,0.16729041342581566,0.04804980288550115
scratch,prediction_drug_only_r2,0.7949789300574893,0.058720177265118786
scratch,prediction_cell_plus_drug_r2,0.9529131155475589,0.014297272789780399
scratch,prediction_residual_fraction_after_additive,0.04708688445244109,0.014297272789780414
pretrained,cell_mean_alignment_pcc,0.8709065917076683,0.034893658707395935
pretrained,drug_mean_alignment_pcc,0.17965227366947376,0.11358284024173855
pretrained,two_way_residual_interaction_pcc,0.047972992978315566,0.018007013283409517
pretrained,prediction_cell_only_r2,0.18874980317707332,0.052539195766262634
pretrained,prediction_drug_only_r2,0.7308481199828156,0.08514405098633447
pretrained,prediction_cell_plus_drug_r2,0.9218416558971291,0.04263410464014188
pretrained,prediction_residual_fraction_after_additive,0.0781583441028709,0.0426341046401419
